,Tweet,Emotion,Intensity
0,This the most depressing shit ever,sadness,3
1,final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,sadness,0
2,"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",sadness,1
3,feel really sad and down todayðŸ˜’,sadness,3
4,Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,2
5,"Way too cool to die young, way too young to die sober.. #tunechi",sadness,2
6,"Happy Birthday Roy Buchanan, born on this day in 1939. #roybuchanan #guitar #blues #happybrithday",sadness,0
7,Ibiza blues hitting me hard already wow,sadness,3
8,Awareness of time is awareness of time lost. #awareness #time ,sadness,0
9,No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow,sadness,0
10,@RossKemp great programme tonight  #upsetting #extremeworld,sadness,0
11,"Most days, I don't know what my heart beats for. #depression",sadness,3
12,Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.,sadness,1
13,"You can tell the camp isn't happy purely through Bojan and Muni.\n\nBoth normally fab guys, yet completely dejected. Something isn't right..",sadness,2
14,Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016,sadness,0
15,@BBCSport too dull for the UK.,sadness,1
16,#sober life,sadness,0
17,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse,sadness,2
18,@Mets @JdeGrom19 I'm depress now,sadness,3
19,"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love ðŸŽ¶",sadness,2
20,John and his 'magic box' #lost,sadness,0
21,it didn't impress me but it didn't depress me',sadness,0
22,"@petercoffin So safe blues are ok. Are reds ok as well? Obviously, battleground states would not.",sadness,0
23,So grim being up at 6,sadness,3
24,@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if canâ€™t just Re-tweet,sadness,3
25,Cheap pout my brodcast,sadness,1
26,I wanna see you smile I don't wanna see you make a frown,sadness,0
27,Liam is too distant makes me mourn ðŸ˜ª,sadness,2
28,"Being at the airport is so depressing.. watching all the loved up couples and cute people coming off holiday,too cute..hurry up November âœˆï¸",sadness,2
29,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain,sadness,2
30,"@midnight #EndTrumpweek please, it's #depressing me.",sadness,2
31,SRV's 'Voodoo Child' is approximately 76 times better than Jimi's. #guitar #music #blues,sadness,0
32,my bls depress the blake,sadness,2
33,I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18,sadness,2
34,If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,0
35,I can't even celebrate my wins or mourn my L's cause first test week is that busy ðŸ˜•,sadness,3
36,@chelseafc let them know it's the #blues,sadness,1
37,Mmmm #coffee and a good #book on a dreary day! Who can beat that?,sadness,0
38,"@andrewmcmeme nah, I asked really insightful teacherly questions so he could write a kickass report of his own. He will, sadly, never know",sadness,1
39,Romero is fucking dreadful like seriously my 11 month old is better than him.,sadness,2
40,â€œMy friend do you fly away now? To a world that abhors you and I? All that awaits you is a somber morrow No matter where the winds may blowâ€,sadness,2
41,@tysonwaters and @WatersWife 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!,sadness,3
42,ðŸ‚ðŸŽµâ˜€\n#fall sounds great !\ndream #blues #rock by @RaphaelSlagg.\nGet the top album  'One Love'  by hero @BlindFret. :D,sadness,0
43,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp",sadness,2
44,"How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo",sadness,2
45,Somehow 90% of the sausage in this pasta I made sunk to the bottom so I'm eating sausage with a tiny bit of leftover pasta,sadness,0
46,"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",sadness,1
47,Thanks to all the #sober drivers. The real winners of the night! #ClemvsGT,sadness,0
48,Interesting topic this evening...  sadness &amp; low mood. #MHChat,sadness,3
49,"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",sadness,2
50,A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,2
51,.@WotzupCapeTown - thanks for sharing! Surprise guests! @HumanJurgen &amp; visiting US Tenor Sax @CunninghamColin. #livemusic #capetown #blues,sadness,0
52,@LdhranOusby @RobHarris inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties.,sadness,2
53,You don't know how to love me when you're sober #sober #selenagomez #revival,sadness,1
54,"One step forward, two steps backward, the link to RogerFedererShop doesnÂ´t work.ðŸ˜° I am losing hope about Roger Federer new Website #sadness",sadness,2
55,Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight,sadness,0
56,"#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs",sadness,0
57,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,sadness,2
58,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",sadness,0
59,@nickb88 @Buster_ESPN pine rider,sadness,0
60,"Please bear with me, I'm not Twitter savvyðŸ˜ in real life I'm a Facebook person. Help me gain followers ðŸ¤“ #blog #selfhelp ",sadness,0
61,@VaunWilmott @PrisonBreak @PBWritersRoom linc the sink,sadness,0
62,Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes,sadness,3
63,nooooo. Poor Blue Bell! not again. #sad,sadness,3
64,The @Orioles are in contention and hosting @RedSox nation and Camden is empty #sad,sadness,2
65,I was not made for this world. #empath #unhappy,sadness,3
66,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing .  #needhelp",sadness,1
67,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT,sadness,1
68,@Micky_A_Lawson Paddy McNair is our joint top scorer......yeah.....justlet that sink in haha,sadness,0
69,@VosachResrus ^'ll just #wobble carry you #sink,sadness,0
70,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,3
71,â€œThe immense importance of football is sometimes scary. When you donâ€™t win you are responsible for so many unhappy people.â€ - Arsene Wenger,sadness,0
72,Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful,sadness,2
73,@CrystiCaro yeah agree - I think it was a family member and they covered up ,sadness,0
74,@rupindxr my heart actually sunk looooool I was so confused,sadness,2
75,Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here ðŸ™ƒ,sadness,3
76,"@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...",sadness,3
77,Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober,sadness,0
78,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),sadness,2
79,@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,0
80,@Vixen85Webster yep &amp; I stayed in pjs all day too lol x,sadness,0
81,"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",sadness,2
82,"Have any of you ever stayed in hostels overseas? My only frame of reference is the movie Hostel, and we all know how that went.",sadness,0
83,Write drunk. Edit Sober. \nForget to save. Wake hungover.\n#amwriting #sober,sadness,0
84,@MCFCDenver doing the exact same minus the beer sadly,sadness,2
85,"When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy",sadness,0
86,@LacesUntied_ yea lol catchy you fret,sadness,0
87,Rooney = whipping boy. #mufc ,sadness,0
88,#2 complained then while his head and then called do not despair of God's mercy if you did sins go back to him and ask his forgiveness,sadness,1
89,"_Her mind is a #dark room,\nDeveloping #Madness  â™¨ðŸ˜˜",sadness,2
90,Band members wanted. Contact me #NewcastleGateshead #Sunderland #musicians #musicbusiness #musicislife #music #musically #band #blues #folk,sadness,0
91,Overwhelming sadness.  This too shall pass.  #lonley #startingover,sadness,3
92,"@iJuvia_ \n\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --",sadness,0
93,Never let the sadness of your past ruin your future,sadness,0
94,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",sadness,0
95,(whisper) I cannot frown.,sadness,0
96,@BTS_twt people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,sadness,1
97,Go away please ... I'm begging Â»Â»Â» #depression #anxiety #worry #fear #sadness \nDreams of joy and my baby to be found...Sits on #AndisBench,sadness,3
98,Do not be discouraged by a slowing sales market. This will test your business model and pinpoint #strengths and #weaknesses.' @Ken_Dunn,sadness,0
99,The difference between someone's selfies when they're happy vs. unhappy is absolutely amazing.,sadness,0
100,Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),sadness,1
101,Even a pencilâœ never #stayed  with me until it's #end âš« ðŸ˜ž,sadness,2
102,"Too many are on their 'yeah, the thing going on with cops shooting innocent people is sad - but just not in my backyard, so..' #sad #blm",sadness,3
103,So blend the waters lie\nThere shrines and free-  The melancholy waters lie\nNo rays from out the dull tide-  As if the vine,sadness,1
104,"@kikibug13 Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)",sadness,1
105,@AshleyCWilson @MrDavidHobbs @IndyCaronNBCSN Glad the TV coverage was so successful because the attendance looked pretty dismal.,sadness,1
106,ok yes I get it as much as the next guy -- bikes blues &amp; bbq is frustrating &amp; loud!!! but these ppl are traveling from all over to come --,sadness,0
107,All work and no play makes Jack a dull boy,sadness,1
108,and again dirty and  self loathing attitude  mope talking,sadness,3
109,Today you visited me in my dreams and even though you aren't physically gone I still mourn you,sadness,3
110,Trying to take what's lost and broken and make it right,sadness,2
111,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness,sadness,2
112,"@beIIrkes Es, I'm serious 23/8",sadness,0
113,@jodikantor @nytimes only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind,sadness,0
114,I am going to make it my life's mission to discourage anyone from using @CapitalOne. They will rob you blind,sadness,2
115,@nytimes media celebrated Don King endorsing #Obama in 08 and 12 now criticize him for endorsing #Trump who wants new Civil Rights era- sad,sadness,2
